name;nicknames;description;tokens;properties;referrals;history
Admiral Ackbar;['Admiral Ackbar'];A veteran commander, Ackbar led the defense of his homeworld, Mon Cala, during the Clone Wars and then masterminded the rebel attack on the second Death Star at the Battle of Endor. Ackbar realized the rebels had been drawn into a trap at Endor, but adjusted, with his fleet buying valuable time for the attack to succeed. After the Battle of Endor, Ackbar became a Grand Admiral in the New Republic, winning many victories including the pivotal Battle of Jakku. He retired to Mon Cala, but was coaxed back into service with the Resistance by Leia Organa.;['veteran', 'commander', 'ackbar', 'led', 'defense', 'homeworld', 'mon', 'cala', 'clone', 'wars', 'mastermind', 'rebel', 'attack', 'second', 'death', 'star', 'battle', 'endor', 'ackbar', 'realized', 'rebel', 'drawn', 'trap', 'endor', 'adjusted', 'fleet', 'buying', 'valuable', 'time', 'attack', 'succeed', 'battle', 'endor', 'ackbar', 'became', 'grand', 'admiral', 'new', 'republic', 'win', 'many', 'victory', 'including', 'pivotal', 'battle', 'jakku', 'retired', 'mon', 'cala', 'coaxed', 'back', 'service', 'resistance', 'leia', 'organa'];{'Appearances': ['Star Wars: Return of the Jedi (Episode VI)', 'Star Wars: The Force Awakens (Episode VII)', 'Star Wars: The Last Jedi (Episode VIII)', 'Star Wars: The Clone Wars'], 'Affiliations': ['Rebel Alliance', 'Galactic Republic', 'The Resistance', 'The New Republic'], 'Locations': ['Mon Cala'], 'Gender': ['Male'], 'Dimensions': ['Height: 1.8m '], 'species': ['Mon Calamari'], 'Weapons': ['Blaster Pistol'], 'Vehicles': ['Mon Calamari Star Cruiser']};['Mon Calamari', 'Mon Cala', 'Prince Lee-Char', 'Separatist', 'Quarren', 'Alliance', 'Empire', 'Emperor', 'second Death Star', 'Endor', 'Lando Calrissian', 'Wedge Antilles', 'the New Republic', 'Jakku', 'Leia Organa', 'Resistance'];
Admiral Coburn;['Admiral Coburn'];With a stern face, steely glare and unmistakable command presence, Admiral Coburn served at the side of General Plo Koon during the Clone Wars. The taciturn fleet officer measured his words precisely, offering clear commands in a clipped accent. Coburn's rigid military discipline served him well in executing some of the more daring missions under Jedi leadership. He commanded  a four-cruiser task force into the thick of a Separatist fleet cordon over Lola Sayu to facilitate the rescue of a strike team that invaded the Citadel installation. Coburn also led a Jedi light cruiser in extracting prisoners from the Zygerrian slave processing facility on Kadavo, steering the vessel dangerously close to the facility.;['stern', 'face', 'steely', 'glare', 'unmistakable', 'commander', 'presence', 'admiral', 'coburn', 'served', 'side', 'general', 'plo', 'koon', 'clone', 'wars', 'taciturn', 'fleet', 'officer', 'measures', 'words', 'precise', 'offered', 'clear', 'commander', 'clipped', 'accent', 'coburn', 'rigid', 'military', 'discipline', 'served', 'well', 'executed', 'daring', 'mission', 'jedi', 'leadership', 'commander', 'four-cruiser', 'tasked', 'force', 'thick', 'separatist', 'fleet', 'cordon', 'lola', 'sayu', 'facilitate', 'rescue', 'striking', 'team', 'invaded', 'citadel', 'installation', 'coburn', 'also', 'led', 'jedi', 'light', 'cruiser', 'extracting', 'prison', 'zygerrian', 'slave', 'process', 'facility', 'kadavo', 'steering', 'vessel', 'dangerous', 'close', 'facility'];{'Appearances': ['Star Wars: The Clone Wars'], 'Affiliations': ['Galactic Republic'], 'Gender': ['Male'], 'Dimensions': ['Height: 1.81m '], 'Vehicles': ['Republic Attack Cruiser']};;
Admiral Garrick Versio;['Admiral Garrick Versio'];An accomplished naval officer who brought his home world of Vardos under Imperial control, Garrick Versio was reassigned and promoted to Admiral following the destruction of the Death Star over Yavin 4. Garrick formed Inferno Squad to ensure nothing of the sort would happen again. Loyalty to the Empire is Admiral Versio’s first priority.;['accomplished', 'naval', 'officer', 'brought', 'home', 'world', 'vardos', 'imperial', 'control', 'garrick', 'versio', 'reassigned', 'promoted', 'admiral', 'following', 'destruction', 'death', 'star', 'yavin', 'garrick', 'form', 'inferno', 'squad', 'ensure', 'nothing', 'sorts', 'would', 'happens', 'loyalty', 'empire', 'admiral', 'versio', 'first', 'priority'];{'Affiliations': ['Galactic Empire'], 'Locations': ['Vardos'], 'Gender': ['Male'], 'species': ['Human']};;
Admiral Griss;['Admiral Griss'];A veteran First Order officer, Frantis Griss commands the Steadfast and its battlegroup and sits on the Supreme Council. He has an excellent relationship with Allegiant General Pryde, which proves useful when the First Order must coordinate its efforts with the Sith armada revealed at Exegol.;['veteran', 'first', 'order', 'officer', 'frantis', 'griss', 'commander', 'steadfast', 'battlegroup', 'sits', 'supreme', 'council', 'excel', 'relationship', 'allegiance', 'general', 'pryde', 'proved', 'used', 'first', 'order', 'must', 'coordinating', 'efforts', 'sith', 'armada', 'revealing', 'exegol'];{'Appearances': ['Star Wars: The Rise of Skywalker (Episode IX)'], 'Affiliations': ['The First Order', 'First Order Supreme Council'], 'Gender': ['Male'], 'species': ['Human']};;
Admiral Karius;['Admiral Karius'];An intimidating mix of machine and man, Admiral Karius serves as Darth Vader’s second-in-command on Mustafar. Stern and unforgiving, he intends to see to it personally that the captain of the Windfall doesn’t survive their stay at Fortress Vader.;['intimidating', 'mix', 'machine', 'man', 'admiral', 'karius', 'served', 'darth', 'vader', 'second-in-command', 'mustafar', 'stern', 'unforgiving', 'intended', 'see', 'personal', 'captain', 'windfall', 'survived', 'stay', 'fortress', 'vader'];{};;
Admiral Kassius Konstantine;['Admiral Kassius Konstantine'];Admiral Kassius Konstantine was a leading officer on an Imperial Star Destroyer. Konstantine, however, ultimately answered to the Inquisitor, and took his ship wherever the Jedi hunter ordered him to.;['admiral', 'kassius', 'konstantine', 'leading', 'officer', 'imperial', 'star', 'destroyed', 'konstantine', 'however', 'ultimately', 'answered', 'inquisitor', 'took', 'ship', 'wherever', 'jedi', 'hunter', 'order'];{'Appearances': ['Star Wars Rebels'], 'Affiliations': ['Galactic Empire'], 'Gender': ['Male']};;
Admiral Kilian;['Admiral Kilian'];A by-the-manuals Republic officer, Admiral Kilian runs a tight ship. Nonetheless, a saboteur was able to slip into the clone cadet ranks during a training tour over Vanqor, and cripple the Jedi cruiser Endurance. Kilian, following naval tradition, refused to abandon ship. He became a hostage of notorious bounty hunters seeking revenge against the Jedi Order.;['by-the-manuals', 'republic', 'officer', 'admiral', 'kilian', 'run', 'tight', 'ship', 'nonetheless', 'saboteur', 'able', 'slip', 'clone', 'cadets', 'ranks', 'training', 'tour', 'vanqor', 'cripple', 'jedi', 'cruiser', 'endured', 'kilian', 'following', 'naval', 'tradition', 'refused', 'abandoned', 'ship', 'became', 'hostage', 'notorious', 'bounty', 'hunter', 'seeking', 'revenge', 'jedi', 'order'];{'Appearances': ['Star Wars: The Clone Wars'], 'Affiliations': ['Galactic Republic'], 'Gender': ['Male'], 'Dimensions': ['Height: 1.72m '], 'Weapons': ['Blaster Pistol'], 'Vehicles': ['Republic Attack Cruiser']};;
Admiral Motti;['Admiral Motti'];A young, ambitious Imperial officer from the Outer Rim world of Seswenna, Admiral Motti saw the Death Star as the ultimate power in the universe, and burned to use that power against any who dared challenge the Empire. The commander of the Star Destroyer Steel Talon, he served as one of the Imperial military’s Joint Chiefs, becoming an ally of Grand Moff Tarkin’s and head of naval operations aboard the Death Star. He died when the battle station was destroyed.;['young', 'ambitious', 'imperial', 'officer', 'outer', 'rim', 'world', 'seswenna', 'admiral', 'motti', 'saw', 'death', 'star', 'ultimately', 'power', 'universe', 'burn', 'used', 'power', 'daring', 'challenge', 'empire', 'commander', 'star', 'destroyed', 'steel', 'talon', 'served', 'one', 'imperial', 'military', 'joint', 'chief', 'become', 'ally', 'grand', 'moff', 'tarkin', 'head', 'naval', 'operations', 'aboard', 'death', 'star', 'died', 'battle', 'station', 'destroyed'];{'Appearances': ['Star Wars: A New Hope (Episode IV)'], 'Affiliations': ['Galactic Empire'], 'Locations': ['Death Star'], 'Gender': ['Male'], 'Dimensions': ['Height: 1.7m '], 'species': ['Human']};;
Admiral Ozzel;['Admiral Ozzel'];Admiral Ozzel commanded the Super Star Destroyer Executor, Darth Vader's mighty flagship and the linchpin of the squadron searching the galaxy for the Alliance's secret base. Ozzel led the initial attack on Hoth, but his choice of tactics infuriated Vader, leading to a sudden and permanent demotion.;['admiral', 'ozzel', 'commander', 'super', 'star', 'destroyed', 'executor', 'darth', 'vader', 'mighty', 'flagship', 'linchpin', 'squadron', 'search', 'galaxy', 'alliance', 'secret', 'base', 'ozzel', 'led', 'initially', 'attack', 'hoth', 'choice', 'tactical', 'infuriated', 'vader', 'leading', 'sudden', 'permanent', 'demotion'];{'Appearances': ['Star Wars: The Empire Strikes Back (Episode V)'], 'Affiliations': ['Galactic Empire'], 'Gender': ['Male'], 'Dimensions': ['Height: 1.75m '], 'Vehicles': ['Executor']};;
Admiral Piett;['Admiral Piett'];An ambitious Imperial officer, Piett rose through the ranks to captain and was assigned to the Super Star Destroyer Executor, Darth Vader's flagship. There, he chafed at having to serve under the foolish, vainglorious Admiral Ozzel. When Vader strangled Ozzel, Piett was granted a battlefield promotion to admiral -- and given a grisly warning of the penalty for failure. Miraculously, he survived his time as Vader's underling, but died when a Rebel starfighter destroyed the Executor's command bridge.;['ambitious', 'imperial', 'officer', 'piett', 'rose', 'ranks', 'captain', 'assigned', 'super', 'star', 'destroyed', 'executor', 'darth', 'vader', 'flagship', 'chafed', 'served', 'foolish', 'vainglorious', 'admiral', 'ozzel', 'vader', 'strangled', 'ozzel', 'piett', 'granted', 'battlefield', 'promoted', 'admiral', 'given', 'grisly', 'warned', 'penalty', 'failure', 'miraculously', 'survived', 'time', 'vader', 'underling', 'died', 'rebel', 'starfighter', 'destroyed', 'executor', 'commander', 'bridge'];{'Appearances': ['Star Wars: The Empire Strikes Back (Episode V)', 'Star Wars: Return of the Jedi (Episode VI)'], 'Affiliations': ['Galactic Empire'], 'Gender': ['Male'], 'Dimensions': ['Height: 1.65m '], 'Vehicles': ['Executor']};;
Admiral Raddus;['Admiral Raddus'];A gruff Mon Calamari officer, Raddus commands the rebel starfleet before the Battle of Yavin, working to knit a hodgepodge of ships into a military force and arrange the delivery of new capital ships to the Alliance. Raddus has little patience for the rebel council’s endless committee meetings. As he sees it, military muscle is the key to defeating the Empire, not stirring speeches.;['gruff', 'mon', 'calamari', 'officer', 'raddus', 'commander', 'rebel', 'starfleet', 'battle', 'yavin', 'work', 'knit', 'hodgepodge', 'ship', 'military', 'force', 'arranged', 'delivery', 'new', 'capital', 'ship', 'alliance', 'raddus', 'little', 'patience', 'rebel', 'council', 'endless', 'committee', 'meet', 'see', 'military', 'muscle', 'key', 'defeat', 'empire', 'stirring', 'speeches'];{'Appearances': ['Rogue One: A Star Wars Story'], 'Affiliations': ['Rebel Alliance'], 'Gender': ['Male'], 'Dimensions': ['Height: 1.9m '], 'species': ['Mon Calamari'], 'Vehicles': ['The Profundity']};;
Admiral Statura;['Admiral Statura'];A veteran Resistance officer, Statura fought to liberate his homeworld of Garel from the Empire while he was just a teenager. Later, Leia Organa recruited him to handle ship procurement and logistics for the Resistance. The technically savvy Statura helped identify the thermal oscillator as the key target in the Resistance’s attack on Starkiller Base.;['veteran', 'resistance', 'officer', 'statura', 'fought', 'liberated', 'homeworld', 'garel', 'empire', 'teenager', 'later', 'leia', 'organa', 'recruited', 'handle', 'ship', 'procurement', 'logistics', 'resistance', 'technical', 'savvy', 'statura', 'help', 'identified', 'thermal', 'oscillator', 'key', 'target', 'resistance', 'attack', 'starkiller', 'base'];"{'Appearances': ['Star Wars: The Force Awakens (Episode VII)'], 'Affiliations': ['The Resistance'], 'Locations': [""D'Qar""], 'Gender': ['Male'], 'Dimensions': ['Height: 1.72m '], 'species': ['Human']}";;
Admiral Trench;['Admiral Trench'];A Separatist admiral known for his cunning and ruthlessness, Trench commands the Separatist blockade of Christophsis, where Senator Bail Organa and his relief effort are pinned down and in danger of capture. Although Anakin Skywalker outwits him and Trench's flagship is destroyed, the skilled tactician survives to fight another day thanks to an array of cybernetic implants.;['separatist', 'admiral', 'known', 'cunning', 'ruthless', 'trench', 'commander', 'separatist', 'blockade', 'christophsis', 'senator', 'bail', 'organa', 'relief', 'efforts', 'pinned', 'dangerous', 'capture', 'although', 'anakin', 'skywalker', 'outwit', 'trench', 'flagship', 'destroyed', 'skills', 'tactician', 'survived', 'fight', 'another', 'days', 'thanks', 'array', 'cybernetic', 'implants'];{'Appearances': ['Star Wars: The Clone Wars'], 'Affiliations': ['Confederacy of Independent Systems'], 'Gender': ['Male'], 'Dimensions': ['Height: 1.89m '], 'species': ['Harch'], 'Vehicles': ['Separatist Dreadnought']};['clone trooper Echo', 'Wat Tambor', 'Captain Rex', 'the Bad Batch', 'Anakin Skywalker'];
Ady Sun'Zee;"[""Ady Sun'Zee""]";A headstrong Jedi Knight from the days of the High Republic. Highly skilled in combat, she was forced to face her own fears when her Master was struck down.;['headstrong', 'jedi', 'knights', 'days', 'high', 'republic', 'highly', 'skills', 'combat', 'force', 'face', 'feared', 'master', 'struck'];{'Locations': ['Batuu', 'Black Spire Outpost']};;
Aemon Gremm;['Aemon Gremm'];The captain of Dryden Vos’s security forces, Gremm is an intimidating Hylobon who insists all security inquiries are funneled through him. A scar across his snout hints at a violent past.;['captain', 'dryden', 'vos', 'security', 'force', 'gremm', 'intimidating', 'hylobon', 'insistence', 'security', 'inquiries', 'funnel', 'scarred', 'across', 'snout', 'hints', 'violent', 'past'];{'Appearances': ['Solo: A Star Wars Story'], 'Affiliations': ['Crimson Dawn'], 'Gender': ['Male'], 'Dimensions': ['Height: 1.93m '], 'species': ['Hylobon']};;
Aeosian Queen;['Aeosian Queen'];The regal Aeosian Queen rules her people with a firm hand. After her tribe's healers were lost in an attack by the First Order, she seeks retribution against the next wave of trespassers on her world.;['regal', 'aeosian', 'queen', 'rule', 'people', 'firm', 'hands', 'tribe', 'healers', 'lost', 'attack', 'first', 'order', 'seeking', 'retribution', 'next', 'wave', 'trespassers', 'world'];{'Appearances': ['Star Wars Resistance'], 'Locations': ['Aeos Prime']};;
Aftab Ackbar;['Aftab Ackbar'];To uphold the legacy of his father, Admiral Gial Ackbar’s son, Aftab, now serves the Resistance as a Y-wing pilot. Beyond his family's close ties to rebel efforts, Aftab’s recruitment was part of a larger effort to bring more Mon Calamari aid to the cause.;['uphold', 'legacy', 'father', 'admiral', 'gial', 'ackbar', 'son', 'aftab', 'served', 'resistance', 'y-wing', 'pilot', 'beyond', 'family', 'close', 'tie', 'rebel', 'efforts', 'aftab', 'recruited', 'part', 'larger', 'efforts', 'bring', 'mon', 'calamari', 'aid', 'cause'];{'Appearances': ['Star Wars: The Rise of Skywalker (Episode IX)'], 'Gender': ['Male'], 'species': ['Mon Calamari']};;
Agen Kolar;['Agen Kolar'];A Zabrak Jedi Master, Agen Kolar was part of the Jedi strike team assembled by Mace Windu to rescue Obi-Wan Kenobi and other hostages taken by the Separatists on Geonosis. Kolar displayed his renowned skill with a lightsaber during the battle in the Geonosian arena, though his young Padawan died during the fighting. In the final days of the Clone Wars, Windu turned to Kolar again, calling on him, Saesee Tiin and Kit Fisto to arrest Supreme Chancellor Palpatine. Confronted by the Jedi, Palpatine threw off his guise and revealed himself as Darth Sidious. He ignited his crimson-bladed lightsaber and struck down Kolar.;['zabrak', 'jedi', 'master', 'agen', 'kolar', 'part', 'jedi', 'striking', 'team', 'assembled', 'mace', 'windu', 'rescue', 'obi-wan', 'kenobi', 'hostage', 'taken', 'separatist', 'geonosis', 'kolar', 'display', 'renowned', 'skills', 'lightsaber', 'battle', 'geonosian', 'arena', 'though', 'young', 'padawan', 'died', 'fight', 'final', 'days', 'clone', 'wars', 'windu', 'turned', 'kolar', 'called', 'saesee', 'tiin', 'kit', 'fisto', 'arrested', 'supreme', 'chancellor', 'palpatine', 'confronted', 'jedi', 'palpatine', 'threw', 'guise', 'revealing', 'darth', 'sidious', 'ignited', 'crimson-bladed', 'lightsaber', 'struck', 'kolar'];{'Appearances': ['Star Wars: Attack of the Clones (Episode II)', 'Star Wars: Revenge of the Sith (Episode III)', 'Star Wars: The Clone Wars'], 'Affiliations': ['Jedi Order'], 'Locations': ['Coruscant'], 'Gender': ['Male'], 'Dimensions': ['Height: 1.7m '], 'species': ['Zabrak'], 'Weapons': ['Lightsaber']};;
Agent Del Meeko;['Agent Del Meeko'];A versatile veteran of the Galactic Empire, Del Meeko witnessed the fall of the Jedi Order on Coruscant as a young boy. Del was so effective as a stormtrooper that he was chosen to serve as a shoretrooper on Scarif and eventually as chief engineer aboard a Star Destroyer. Del’s versatility was rewarded with recruitment into Inferno Squad, where he plays numerous roles: scout, sniper, pilot, intelligence officer, and whatever else Commander Iden Versio needs from him.;['versatile', 'veteran', 'galactic', 'empire', 'del', 'meeko', 'witness', 'fall', 'jedi', 'order', 'coruscant', 'young', 'boy', 'del', 'effective', 'stormtrooper', 'chosen', 'served', 'shoretrooper', 'scarif', 'eventually', 'chief', 'engineer', 'aboard', 'star', 'destroyed', 'del', 'versatile', 'reward', 'recruited', 'inferno', 'squad', 'playing', 'numerous', 'role', 'scout', 'sniper', 'pilot', 'intelligence', 'officer', 'whatever', 'else', 'commander', 'iden', 'versio', 'needed'];{'Affiliations': ['Galactic Empire', 'Inferno Squad'], 'Locations': ['Coruscant'], 'Gender': ['Male'], 'species': ['Human'], 'Vehicles': ['Corvus (ship)']};;
Agent Gideon Hask;['Agent Gideon Hask'];An orphan from Kuat, Gideon Hask found a family with the Empire. Having honed his combat skills from a young age, he was selected by Admiral Garrick Versio to join the special forces unit Inferno Squad. His bravery and dedication to the Empire are matched only by his disdain for those who would stand in its way.;['orphan', 'kuat', 'gideon', 'hask', 'found', 'family', 'empire', 'honed', 'combat', 'skills', 'young', 'age', 'selected', 'admiral', 'garrick', 'versio', 'joined', 'special', 'force', 'unit', 'inferno', 'squad', 'bravery', 'dedicated', 'empire', 'match', 'disdain', 'would', 'stand', 'way'];{'Affiliations': ['Galactic Empire', 'Inferno Squad'], 'Locations': ['Vardos', 'Kuat'], 'Gender': ['Male'], 'species': ['Human'], 'Vehicles': ['Corvus (ship)']};;
